Source,Comment,BoardWidth,BoardHeight,TextLabel,Type,Graphics,Xref,GraphId,GroupRef,BiopaxRef,Attribute,GroupId,Style,CenterX,CenterY,PublicationXref,openControlledVocabulary,GraphRef,Href,Key,Value
,,,,Ca2+,Metabolite,,,feb01,,,,,,,,,,,,,
,,,,TBX6,GeneProduct,,,ab86f,,,,,,,,,,,,,
,,,,"N-arachidonoyl-1-oleoyl-sn-
glycero-3-phosphoethanolamine(1−)",Metabolite,,,c223b,e8dab,,,,,,,,,,,,
,,,,H2O,Metabolite,,,d4eca,a4dcc,,,,,,,,,,,,
,,,,palmitoyl ethanolamide,Metabolite,,,c8941,c1dfe,,,,,,,,,,,,
,,,,"1-(1Z-octadecenyl)-sn-glycero-3-phospho-
(N-hexadecanoyl)ethanolamine(1−)",Metabolite,,,a6354,a6038,,,,,,,,,,,,
,,,,TP53,GeneProduct,,,aff28,,,,,,,,,,,,,
,,,,YPEL3,GeneProduct,,,bc056,,,,,,,,,,,,,
,,,,palmitoyl ethanolamide,Metabolite,,,b023d,ec95e,,,,,,,,,,,,
,,,,choline alfoscerate,Metabolite,,,baf29,ebc95,,,,,,,,,,,,
,,,,1-oleoyl-sn-glycero-3-phosphate(2−),Metabolite,,,cf58a,ec95e,,,,,,,,,,,,
,,,,choline,Metabolite,,,abd77,e7236,,,,,,,,,,,,
,,,,1-hexadecanoyl-sn-glycero-3-phosphocholine,Metabolite,,,f7648,a4dcc,,,,,,,,,,,,
,,,,1-palmitoyl-sn-glycerol 3-phosphate(2−),Metabolite,,,e1b1f,e7236,,,,,,,,,,,,
,,,,"N,1-dioleoyl-sn-glycero-
3-phosphoethanolamine(1−)",Metabolite,,,bcd2d,d203e,,,,,,,,,,,,
,,,,1-(1Z-octadecenyl)-sn-glycero-3-phosphate(2−),Metabolite,,,f7926,c1dfe,,,,,,,,,,,,
,,,,GDPD3,GeneProduct,,,f8fba,,,,,,,,,,,,,
,,,,1-oleoyl-sn-glycero-3-phosphate(2−),Metabolite,,,a000e,e341f,,,,,,,,,,,,
,,,,1-hexadecyl-sn-glycero-3-phosphate(2−),Metabolite,,,c890e,ffab1,,,,,,,,,,,,
,,,,"N-palmitoyl-1-oleoyl-sn-glycero-
3-phosphoethanolamine(1−)",Metabolite,,,a6753,bccda,,,,,,,,,,,,
,,,,Oncogene Induced Senescence,Pathway,,,d3a74,,,,,,,,,,,,,
,,,,lysophosphatidylcholine O-16:0/0:0,Metabolite,,,cf86f,badfc,,,,,,,,,,,,
,,,,oleoyl ethanolamide,Metabolite,,,a7161,a9fcc,,,,,,,,,,,,
,,,,anandamide,Metabolite,,,b1f8d,e341f,,,,,,,,,,,,
,,,,MAPK3,GeneProduct,,,a2f98,,,,,,,,,,,,,
,,,,H+,Metabolite,,,d9a56,e7236,,,,,,,,,,,,
,,,,H2O,Metabolite,,,f4d2d,eb90e,,,,,,,,,,,,
,,,,H+,Metabolite,,,d3e90,ebc95,,,,,,,,,,,,
,,,,1-hexadecanoyl-sn-glycero-3-phosphocholine,Metabolite,,,a80a2,eb90e,,,,,,,,,,,,
,,,,H2O,Metabolite,,,cff85,a6038,,,,,,,,,,,,
,,,,H+,Metabolite,,,d43fc,c1dfe,,,,,,,,,,,,
,,,,H2O,Metabolite,,,f2f14,e8dab,,,,,,,,,,,,
,,,,H+,Metabolite,,,fc3fd,e341f,,,,,,,,,,,,
,,,,H2O,Metabolite,,,fcf5b,d203e,,,,,,,,,,,,
,,,,H+,Metabolite,,,c7967,a9fcc,,,,,,,,,,,,
,,,,1-oleoyl-sn-glycero-3-phosphate(2−),Metabolite,,,bd20a,a9fcc,,,,,,,,,,,,
,,,,H2O,Metabolite,,,c34ec,bccda,,,,,,,,,,,,
,,,,H+,Metabolite,,,ed56a,ec95e,,,,,,,,,,,,
,,,,H2O,Metabolite,,,c8122,badfc,,,,,,,,,,,,
,,,,choline,Metabolite,,,e5eac,ffab1,,,,,,,,,,,,
,,,,H+,Metabolite,,,d8473,ffab1,,,,,,,,,,,,
,,,,,,,,b0a38,,,,,,,,,,f0f31,,,
,,,,,,,,c4d15,,,,,,,,,,cd4d3,,,
,,,,,,,,c118b,,,,,,,,,,dabcd,,,
,,,,,,,,a5b3a,,,,,,,,,,a1a9a,,,
,,,,,,,,id11bfc3c7,,dc4,,,,,,,,,,,
,,,,,,,,id160e5125,,bac,,,,,,,,,,,
,,,,,,,,id1736b7ff,,f40,,,,,,,,,,,
,,,,,,,,id2f675889,,bf7,,,,,,,,,,,
,,,,,,,,id2faca7da,,,,,,,,,,,,,
,,,,,,,,id3749af16,,ee7,,,,,,,,,,,
,,,,,,,,id38e1de40,,,,,,,,,,,,,
,,,,,,,,id39b517a5,,d63,,,,,,,,,,,
,,,,,,,,id3b444da3,,c20,,,,,,,,,,,
,,,,,,,,id3ba650fd,,b0f,,,,,,,,,,,
,,,,,,,,id3f8375b7,,f40,,,,,,,,,,,
,,,,,,,,id44dd4005,,,,,,,,,,,,,
,,,,,,,,id451ca188,,fc1,,,,,,,,,,,
,,,,,,,,id45d2d980,,,,,,,,,,,,,
,,,,,,,,id4b4c6127,,,,,,,,,,,,,
,,,,,,,,id55380db9,,,,,,,,,,,,,
,,,,,,,,id5876b6ab,,d3e,,,,,,,,,,,
,,,,,,,,id5c4dbaee,,fb9,,,,,,,,,,,
,,,,,,,,id5dfab5d5,,,,,,,,,,,,,
,,,,,,,,id5edc0f51,,,,,,,,,,,,,
,,,,,,,,id66cad7e5,,a2d,,,,,,,,,,,
,,,,,,,,id6f3157aa,,d0e,,,,,,,,,,,
,,,,,,,,id70955d50,,b19,,,,,,,,,,,
,,,,,,,,id71208bc7,,,,,,,,,,,,,
,,,,,,,,id71b3e6e1,,d0e,,,,,,,,,,,
,,,,,,,,id74b749bc,,da2,,,,,,,,,,,
,,,,,,,,id74f1a3db,,e72,,,,,,,,,,,
,,,,,,,,id798b1b02,,a21,,,,,,,,,,,
,,,,,,,,id7ba6a801,,e43,,,,,,,,,,,
,,,,,,,,id804f9c12,,d0e,,,,,,,,,,,
,,,,,,,,id81504d52,,da2,,,,,,,,,,,
,,,,,,,,id8169257a,,,,,,,,,,,,,
,,,,,,,,id8bc23f71,,,,,,,,,,,,,
,,,,,,,,id95abba26,,da2,,,,,,,,,,,
,,,,,,,,id9fd5e8ec,,d0e,,,,,,,,,,,
,,,,,,,,ida53d3577,,,,,,,,,,,,,
,,,,,,,,ida6c75b2,,cce,,,,,,,,,,,
,,,,,,,,idac837824,,ab3,,,,,,,,,,,
,,,,,,,,idaf81890c,,,,,,,,,,,,,
,,,,,,,,idb08c092c,,ab3,,,,,,,,,,,
,,,,,,,,idb15d4e09,,,,,,,,,,,,,
,,,,,,,,idb1ccf4ea,,,,,,,,,,,,,
,,,,,,,,idb5693b56,,,,,,,,,,,,,
,,,,,,,,idb6c3096f,,c22,,,,,,,,,,,
,,,,,,,,idbb708452,,,,,,,,,,,,,
,,,,,,,,idbebe1d91,,c65,,,,,,,,,,,
,,,,,,,,idc1f06d6,,e43,,,,,,,,,,,
,,,,,,,,idc2e4e899,,d63,,,,,,,,,,,
,,,,,,,,idc4fd4428,,,,,,,,,,,,,
,,,,,,,,idc54c7983,,,,,,,,,,,,,
,,,,,,,,idc6adf34d,,b19,,,,,,,,,,,
,,,,,,,,idd314de86,,,,,,,,,,,,,
,,,,,,,,idd4038daf,,dc4,,,,,,,,,,,
,,,,,,,,idd6107d87,,,,,,,,,,,,,
,,,,,,,,idda6df8da,,fe0,,,,,,,,,,,
,,,,,,,,iddaa0de59,,f50,,,,,,,,,,,
,,,,,,,,idddaed06b,,,,,,,,,,,,,
,,,,,,,,ide17f654f,,,,,,,,,,,,,
,,,,,,,,ide6769b19,,,,,,,,,,,,,
,,,,,,,,ide702b81,,,,,,,,,,,,,
,,,,,,,,ide8d5f601,,a21,,,,,,,,,,,
,,,,,,,,idf34901d1,,ca4,,,,,,,,,,,
,,,,,,,,idf35de382,,a21,,,,,,,,,,,
,,,,,,,,idfaf5e7a9,,dc4,,,,,,,,,,,
,,,,,,,,idfe0c5d30,,,,,,,,,,,,,
,,,,,,,,cdad7,,fe0,,,,,,,,,,,
,,,,,,,,a7a91,,b19,,,,,,,,,,,
,,,,,,,,ece45,,b0f,,,,,,,,,,,
,,,,,,,,aa3de,,b0f,,,,,,,,,,,
,,,,,,,,f45a8,,c65,,,,,,,,,,,
,,,,,,,,b42e9,,fc1,,,,,,,,,,,
,,,,,,,,aa885,,f40,,,,,,,,,,,
,,,,,,,,b7f58,,f50,,,,,,,,,,,
,,,,,,,,e62e9,,d0e,,,,,,,,,,,
,,,,,,,,df8ca,,d0e,,,,,,,,,,,
,,,,,,,,fd455,,d0e,,,,,,,,,,,
,,,,,,,,aec0b,,d0e,,,,,,,,,,,
,,,,,,,,e90c4,,,,,,,,,,,,,
,,,,,,,,f1bde,,e43,,,,,,,,,,,
,,,,,,,,f58a1,,cc3,,,,,,,,,,,
,,,,,,,,dd0a7,,bac,,,,,,,,,,,
,,,,,,,,c35ba,,bac,,,,,,,,,,,
,,,,,,,,cfa0a,,bac,,,,,,,,,,,
,,,,,,,,ca7a6,,bac,,,,,,,,,,,
,,,,,,,,c27f3,,bac,,,,,,,,,,,
,,,,,,,,b98bf,,bac,,,,,,,,,,,
,,,,,,,,b30c2,,bac,,,,,,,,,,,
,,,,,,,,dc98a,,bac,,,,,,,,,,,
,,,,,,,,b7b87,,bac,,,,,,,,,,,
,,,,,,,,f16e2,,bac,,,,,,,,,,,
,,,,,,,,d564f,,bac,,,,,,,,,,,
,,,,,,,,e48ff,,bac,,,,,,,,,,,
,,,,,,,,ee8cd,,,,,,,,,,,,,
,,,,,,,,a2052,,,,,,,,,,,,,
,,,,,,,,d36ea,,,,,,,,,,,,,
,,,,,,,,ddde5,,,,,,,,,,,,,
,,,,,,,,ec48c,,,,,,,,,,,,,
,,,,,,,,ad2ba,,b31,,,,,,,,,,,
,,,,,,,,b3c6a,,b31,,,,,,,,,,,
,,,,,,,,e59e2,,,,,,,,,,,,,
,,,,,,,,a2660,,,,,,,,,,,,,
,,,,,,,,b87df,,,,,,,,,,,,,
,,,,,,,,ac837,,b31,,,,,,,,,,,
,,,,,,,,cbafb,,b31,,,,,,,,,,,
,,,,,,,,df041,,b31,,,,,,,,,,,
,,,,,,,,bdb32,,b31,,,,,,,,,,,
,,,,,,,,a3ccd,,b31,,,,,,,,,,,
,,,,,,,,ba318,,f7c,,,,,,,,,,,
,,,,,,,,f77f6,,ef3,,,,,,,,,,,
,,,,,,,,id825482d,,,,,,,,,,,,,
,,,,,,,,idb7cadd8d,,,,,,,,,,,,,
,,,,,,,,b662d,,,,,,,,,,,,,
,,,,excitotoxic to neurons,,,,a67e4,,,,,,,,,,,,,
,,,,RNA gene,,,,aac85,,,,,,,,,,,,,
,,,,"KCTD13 deficient mice
- synaptic formation
- mature spine density in hippocampus",,,,aeb74,,a2d,,,,,,,,,,,
,,,,"stress induced cell
cycle arrest and
apoptosis",,,,af903,,,,,,,,,,,,,
,,,,"located in zymogen 
granule membrane
involved in protein 
secretion
",,,,b03d0,,,,,,,,,,,,,
,,,,Stress,,,,b4e8e,,,,,,,,,,,,,
,,,,"Vault 
formation",,,,c1134,,,,,,,,,,,,,
,,,,"Chromosome 16: 29,592,751
",,,,c1273,,,,,,,,,,,,,
,,,,"involved in
sperm and egg
fusion",,,,c4f3a,,ca7,,,,,,,,,,,
,,,,"Chromosome 16: 30,190,593",,,,d8d27,,,,,,,,,,,,,
,,,,unknown function,,,,e8c8e,,,,,,,,,,,,,
,,,,mitosis,,,,f2b2f,,,,,,,,,,,,,
,,,,"Lymphocyte trafficking
Lympthocyte polarization",,,,f324c,,,,,,,,,,,,,
,,,,"promotor binding
transcriptional
regulator",,,,f549c,,,,,,,,,,,,,
,,,,"Function unclear
Enzymatic activity
dioxygenase activity",,,,f78ac,,,,,,,,,,,,,
,,,,"exact function unknown 
but involved
in movement disorders in 
genetic epilepsies ",,,,f9384,,,,,,,,,,,,,
,,,,"Function unclear
involved in neuronal ER
trafficking",,,,fa69f,,b07,,,,,,,,,,,
,,,,"Transcription factor 
regulating
mesoderm specification
mesoderm segmentation
(in zebrafish)",,,,a66f2,,b73,,,,,,,,,,,
,,,,,,,,ab97f,,,,,,,,,,,,,
,,,,,,,,da3af,,,,,,,,,,,,,
,,,,,,,,a2748,,,,f1909,Group,,,,,,,,
,,,,,,,,a570b,,,,c9371,Group,,,,,,,,
,,,,,,,,a9801,,,,a4dcc,Group,,,,,,,,
,,,,,,,,ab4e3,,,,a258f,Group,,,,,,,,
,,,,,,,,ac4c8,,,,d6314,Complex,,,,,,,,
,,,,,,,,afbe2,,,,e7236,Group,,,,,,,,
,,,,,,,,b1769,,,,b2b4b,Group,,,,,,,,
,,,,,,,,b36c2,,,,cbe02,Group,,,,,,,,
,,,,,,,,b88ad,,,,d203e,Group,,,,,,,,
,,,,,,,,ba58c,,,,f9b53,Complex,,,,,,,,
,,,,,,,,ba72b,,,,badfc,Group,,,,,,,,
,,,,,,,,bb135,,,,e6816,Complex,,,,,,,,
,,,,,,,,bd2dd,,,,e341f,Group,,,,,,,,
,,,,,,,,be36f,,,,b4bb1,Group,,,,,,,,
,,,,,,,,c5708,,,,cc9a1,Complex,,,,,,,,
,,,,,,,,c9428,,,,e8dab,Group,,,,,,,,
,,,,,,,,cc606,,,,fddae,Group,,,,,,,,
,,,,,,,,ce0fe,,,,ec95e,Group,,,,,,,,
,,,,,,,,d352d,,,,f5fa7,Group,,,,,,,,
,,,,,,,,d370d,,,,ab1b4,Group,,,,,,,,
,,,,,,,,d49d0,,,,c1a9c,Group,,,,,,,,
,,,,,,,,d671a,,,,c19a3,Group,,,,,,,,
,,,,,,,,d8eb7,,,,eb90e,Group,,,,,,,,
,,,,,,,,da55b,,,,c1dfe,Group,,,,,,,,
,,,,,,,,dc280,,,,d73d9,Group,,,,,,,,
,,,,,,,,de215,,,,a6038,Group,,,,,,,,
,,,,,,,,ea0a7,,,,b2df6,Group,,,,,,,,
,,,,,,,,ec900,,,,a19d6,Group,,,,,,,,
,,,,,,,,ed84a,,,,bccda,Group,,,,,,,,
,,,,,,,,ee99a,,,,c38b5,Group,,,,,,,,
,,,,,,,,f621a,,,,ffab1,Group,,,,,,,,
,,,,,,,,f7a77,,,,bd6b1,Group,,,,,,,,
,,,,,,,,f8b1d,,,,ebc95,Group,,,,,,,,
,,,,,,,,fadb1,,,,b3d09,Group,,,,,,,,
,,,,,,,,fd735,,,,a9fcc,Group,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"The 17p13.3 deletion or duplication ranging from chr17:1250000 to chr17:1300000, affects YWHAE gene. The YWHAE gene plays a role in a lot of different processes and is closely related to many diseases. ",,,,,,,,,,,,,,,,,,,,
,,1686.7619047619046,883.3333333333333,,,,,,,,,,,,,,,,,,
,,,,Tyrosine,Metabolite,,,a59fc,,,,,,,,,,,,,
,,,,Dopamine,Metabolite,,,aac03,,,,,,,,,,,,,
,,,,Noradrenaline,Metabolite,,,b6292,,,,,,,,,,,,,
,,,,"Cytoplasmic 
dynein complex",Complex,,,b9013,,,,,,,,,,,,,
,,,,Apoptosis,Pathway,,,b917c,,,,,,,,,,,,,
,,,,DBH,Protein,,,bdfaa,,,,,,,,,,,,,
,Type your comment here,,,NDEL1,Protein,,,c6934,,,,,,,,,,,,,
,,,,"YWHAE
",Protein,,,ce3ca,a6c47,,,,,,,,,,,,
,,,,YWHAB,Protein,,,d2406,a6c47,,,,,,,,,,,,
,,,,CDK5,Protein,,,d510e,,,,,,,,,,,,,
,,,,AADC,Protein,,,d5d0b,,,,,,,,,,,,,
,,,,LIS1,Protein,,,dbae9,,,,,,,,,,,,,
,tyrosine hydroxylase ,,,TH,Protein,,,f474e,,,,,,,,,,,,,
,,,,DCTN1,Protein,,,f6920,bedb6,,,,,,,,,,,,
,,,,L-Dopa,Metabolite,,,f996d,,,,,,,,,,,,,
,,,,DISC1,Protein,,,fa176,,,,,,,,,,,,,
,,,,YWHAE,GeneProduct,,,fbb14,,,,,,,,,,,,,
,,,,DYNC1H1,Protein,,,fe636,,,,,,,,,,,,,
,,,,"YWHAE
",Protein,,,c03a9,eb524,,,,,,,,,,,,
,,,,YWHAG,Protein,,,fb2e2,eb524,,,,,,,,,,,,
,,,,"YWHAE
",Protein,,,d1cfe,aedf2,,,,,,,,,,,,
,,,,YWHAH,Protein,,,ae326,aedf2,,,,,,,,,,,,
,,,,"YWHAE
",Protein,,,fedc7,e6788,,,,,,,,,,,,
,,,,YWHAZ,Protein,,,c2e8c,e6788,,,,,,,,,,,,
,,,,"YWHAE
",Protein,,,ee2fc,f1536,,,,,,,,,,,,
,,,,YWHAQ,Protein,,,f42f0,f1536,,,,,,,,,,,,
,Type your comment here,,,NDEL1,Protein,,,d0c03,,,,,,,,,,,,,
,,,,PPP2CA,Protein,,,ae307,,,,,,,,,,,,,
,,,,DCTN2,Protein,,,d9856,bedb6,,,,,,,,,,,,
,,,,DCTN3,Protein,,,f2bc7,bedb6,,,,,,,,,,,,
,,,,DCTN4,Protein,,,ce573,bedb6,,,,,,,,,,,,
,,,,DCTN5,Protein,,,b245d,bedb6,,,,,,,,,,,,
,,,,DCTN6,Protein,,,b6333,bedb6,,,,,,,,,,,,
,,,,complex ,,,,ffae5,bb624,,,,,,,,,,,,
,,,,P,,,,d1c32,,,,,,,,,,c6934,,,
,,,,,,,,id106d27af,,ef8,,,,,,,,,,,
,,,,,,,,id1419fc67,,dd6,,,,,,,,,,,
,,,,,,,,id1b6080d9,,e19,,,,,,,,,,,
,,,,,,,,id33650e1,,dd6,,,,,,,,,,,
,,,,,,,,id365fc295,,d4b,,,,,,,,,,,
,,,,,,,,id5150a666,,,,,,,,,,,,,
,,,,,,,,id5ec7bee3,,e6f,,,,,,,,,,,
,,,,,,,,id62801426,,f84,,,,,,,,,,,
,,,,,,,,id6f9713ba,,aba,,,,,,,,,,,
,,,,,,,,id74b671c5,,dd6,,,,,,,,,,,
,,,,,,,,id8285f810,,b3a,,,,,,,,,,,
,,,,,,,,id87b7aabd,,aba,,,,,,,,,,,
,,,,,,,,id913c08e1,,c28,,,,,,,,,,,
,,,,,,,,id963377e,,ef8,,,,,,,,,,,
,,,,,,,,id96e71a84,,d4b,,,,,,,,,,,
,,,,,,,,id9f5dbcb2,,c06,,,,,,,,,,,
,,,,,,,,idb4b1ff31,,dd6,,,,,,,,,,,
,,,,,,,,idb8dbc256,,e2d,,,,,,,,,,,
,,,,,,,,idba444b77,,c60,,,,,,,,,,,
,,,,,,,,idcc939e99,,dd6,,,,,,,,,,,
,,,,,,,,idd32f02ae,,c60,,,,,,,,,,,
,,,,,,,,idd4f2a8c0,,dd6,,,,,,,,,,,
,,,,,,,,iddf9923e5,,e2d,,,,,,,,,,,
,,,,,,,,idec7f4dad,,aba,,,,,,,,,,,
,,,,,,,,e73f7,,ef8,,,,,,,,,,,
,,,,,,,,fb5f5,,e2d,,,,,,,,,,,
,,,,,,,,fee2d,,e2d,,,,,,,,,,,
,,,,,,,,b0f8d,,e2d,,,,,,,,,,,
,,,,,,,,dadc3,,e2d,,,,,,,,,,,
,,,,,,,,f0180,,ef8,,,,,,,,,,,
,,,,,,,,b029f,,ef8,,,,,,,,,,,
,,,,,,,,b93bb,,aa3,,,,,,,,,,,
,,,,,,,,d86aa,,aa3,,,,,,,,,,,
,,,,,,,,a2422,,,,,,,,,,,,,
,,,,,,,,c5205,,,,,,,,,,,,,
,,,,,,,,f42c2,,,,,,,,,,,,,
,,,,,,,,bec50,,,,,,,,,,,,,
,,,,,,,,de683,,,,,,,,,,,,,
,,,,"promote dynein 
motor function ",,,,b008e,,,,,,,,,,,,,
,,,,Legend ,,,,baf01,,,,,,,,,,,,,
,,,,"Microtubule mediated 
migration",,,,cde6f,,,,,,,,,,,,,
,,,,Monoaminergic terminal ,,,,fa5cb,,e2d,,,,,,,,,,,
,,,,GeneProduct,,,,fd859,,,,,,,,,,,,,
,,,,"nuclear movement and migration 
(during neuronal development)",,,,feb54,,,,,,,,,,,,,
,,,,Metabolite ,,,,c50fb,,,,,,,,,,,,,
,,,,pathway ,,,,ba3f2,,,,,,,,,,,,,
,,,,complex ,,,,c48f0,,,,,,,,,,,,,
,,,,MIM-binding of compound to another ,,,,fb99e,,,,,,,,,,,,,
,,,,MIM-conversion of a compound to another ,,,,f6236,,,,,,,,,,,,,
,,,,MIM-catalysis of a compound by an enzyme ,,,,c4790,,,,,,,,,,,,,
,,,,MIM-inhibition of a compound's function or a process ,,,,effec,,,,,,,,,,,,,
,,,,Data node for hosphorylated protein ,,,,c0f2b,,,,,,,,,,,,,
,,,,Data node for complex ,,,,d136a,,,,,,,,,,,,,
,,,,Data node for complex ,,,,b8236,,,,,,,,,,,,,
,,,,Data node for pathway,,,,f8847,,,,,,,,,,,,,
,,,,Data node for a protein coding gene or its corresponding protein,,,,f9ca0,,,,,,,,,,,,,
,,,,Data node for a metabolite ,,,,bc610,,,,,,,,,,,,,
,,,,,,,,c9345,,,,,,,,,,,,,
,,,,,,,,baed8,,,,,,,,,,,,,
,,,,P,,,,ec015,,,,,,,,,,,,,
,,,,,,,,,,,,dad8b,Complex,,,,,,,,
,,,,,,,,,,,,bb624,Complex,,,,,,,,
,,,,,,,,a787f,,,,e0085,Complex,,,,,,,,
,,,,,,,,b4056,,,,b50b8,Complex,,,,,,,,
,,,,,,,,b63c7,,,,f0d29,Complex,,,,,,,,
,,,,,,,,bdc04,,,,eb524,Complex,,,,,,,,
,,,,,,,,c3f37,,,,ad9f2,Complex,,,,,,,,
,,,,,,,,cacf9,,,,a6c47,Complex,,,,,,,,
,,,,,,,,cd500,,,,f1536,Complex,,,,,,,,
,,,,,,,,eaabc,,,,bedb6,Complex,,,,,,,,
,,,,,,,,eb040,,,,e6788,Complex,,,,,,,,
,,,,,,,,f7597,,,,aedf2,Complex,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,"Overview of the 17q12 copy number variation syndrome, showing the involved genes, their pathways, and downstream events.",,,,,,,,,,,,,,,,,,,,
WikiPathways-description,17q12 copy number variation syndrome,,,,,,,,,,,,,,,,,,,,
WikiPathways-description,17q12 copy number variation syndrome,,,,,,,,,,,,,,,,,,,,
,,3816.0,2345.375,,,,,,,,,,,,,,,,,,
,,,,"Brain-derived 
neurotrophic factor 
(BDNF) signaling pathway",Pathway,,,a019c,,,,,,,,,,,,,
,,,,"Uncharacterized 
protein C17orf50",Protein,,,a0457,,cf2,,,,,,,,,,,
,,,,"Migration and 
invasion enhancer 1",Protein,,,a0878,,b1a,,,,,,,,,,,
,,,,"Pre-mRNA-splicing 
factor CWC25 homolog ",Protein,,,a0e33,,e36,,,,,,,,,,,
,,,,CCL5,GeneProduct,,,a0e90,,e50,,,,,,,,,,,
,,,,"Growth factor 
receptor-bound protein 7 ",Protein,,,a1711,,b1c,,,,,,,,,,,
,,,,"RNA Polymerase II 
Transcription",Pathway,,,a1928,,ed9,,,,,,,,,,,
,,,,TBC1D3H,GeneProduct,,,a2216,,adf,,,,,,,,,,,
,,,,"Hepatocyte growth 
factor receptor signaling",Pathway,,,a240c,,a6f,,,,,,,,,,,
,,,,SOCS7,GeneProduct,,,a251a,,a4e,,,,,,,,,,,
,,,,"Methionine metabolism 
leading to sulfur amino
acids and related disorders",Pathway,,,a2555,,fef,,,,,,,,,,,
,,,,"Plexin 
domain-containing 
protein 1 ",Protein,,,a2fd4,,e6f,,,,,,,,,,,
,,,,TAF15,GeneProduct,,,a3352,,e93,,,,,,,,,,,
,,,,"CDGSH iron-sulfur 
domain-containing 
protein 3, mitochondrial ",Protein,,,a3bcd,,a21,,,,,,,,,,,
,,,,CCL4,GeneProduct,,,a3de2,,be6,,,,,,,,,,,
,,,,"C-C motif 
chemokine 7",Protein,,,a452e,,b3e,,,,,,,,,,,
,,,,"T-complex protein 1 
subunit zeta-2 ",Protein,,,a45e5,,ef7,,,,,,,,,,,
,,,,C17orf78 ,GeneProduct,,,a4719,,e36,,,,,,,,,,,
,,,,GGNBP2,GeneProduct,,,a5e84,,f6d,,,,,,,,,,,
,,,,STARD3,GeneProduct,,,a69a9,,,,,,,,,,,,,
,,,,MYO19,GeneProduct,,,a7473,,a6c,,,,,,,,,,,
,,,,GAS2L2,GeneProduct,,,a77e8,,a18,,,,,,,,,,,
,,,,LIG3,GeneProduct,,,a7892,,a10,,,,,,,,,,,
,,,,ACACA,GeneProduct,,,a90c1,,ee1,,,,,,,,,,,
,,,,Telethonin ,Protein,,,a928c,,e3f,,,,,,,,,,,
,,,,TBC1D3C,GeneProduct,,,a92dd,,adf,,,,,,,,,,,
,,,,"Gamma-glutamyl 
cycle for the biosynthesis 
and degradation of 
glutathione, 
including diseases",Pathway,,,a9622,,f8c,,,,,,,,,,,
,,,,HNF1B,GeneProduct,,,a991a,,c06,,,,,,,,,,,
,,,,CACNB1,GeneProduct,,,aaf04,,e42,,,,,,,,,,,
,,,,RFFL,GeneProduct,,,ab79b,,b48,,,,,,,,,,,
,,,,PIP4K2B,GeneProduct,,,ae8b8,,fe5,,,,,,,,,,,
,,,,"Zinc finger HIT 
domain-containing 
protein 3",Protein,,,aed0d,,f30,,,,,,,,,,,
,,,,"C-C motif 
chemokine 1",Protein,,,af86e,,a4c,,,,,,,,,,,
,,,,MIEN1,GeneProduct,,,af8d8,,d61,,,,,,,,,,,
,,,,"Zinc finger 
protein 830 ",Protein,,,af9ff,,e36,,,,,,,,,,,
,Type your comment here,,,TEC,GeneProduct,,,afbb9,,,,,,,,,,,,,
,,,,"Familial 
Hyperlipidemia 
type 3 ",Pathway,,,b01a6,,b01,,,,,,,,,,,
,,,,Hepatitis B infection,Pathway,,,b1cb7,,a57,,,,,,,,,,,
,,,,"Protein unc-45 
homolog B",Protein,,,b1d1f,,b21,,,,,,,,,,,
,,,,"Voltage-dependent 
L-type calcium 
channel subunit beta-1",Protein,,,b1e61,,c1a,,,,,,,,,,,
,,,,"Peroxisomal
lipid metabolism",Pathway,,,b1ed4,,cc9,,,,,,,,,,,
,,,,"Uncharacterized 
protein C17orf78 ",Protein,,,b269c,,e36,,,,,,,,,,,
,,,,"Gametogenetin-binding 
protein 2",Protein,,,b31b1,,f54,,,,,,,,,,,
,,,,"Host
Interactions 
of HIV factors",Pathway,,,b3b76,,e13,,,,,,,,,,,
,,,,NLE1,GeneProduct,,,b454c,,edf,,,,,,,,,,,
,,,,"Prolactin 
receptor signaling",Pathway,,,b4953,,d4f,,,,,,,,,,,
,,,,PIGW,GeneProduct,,,b57c1,,bba,,,,,,,,,,,
,,,,"Schlafen family 
member 11",Protein,,,b6915,,e36,,,,,,,,,,,
,,,,CCL18,GeneProduct,,,b698c,,c02,,,,,,,,,,,
,,,,"TBC1 domain 
family member 3H",Protein,,,b6b90,,a21,,,,,,,,,,,
,,,,DDX52,GeneProduct,,,b82c0,,e5c,,,,,,,,,,,
,,,,"Polycomb group 
RING finger protein 2",Protein,,,b8470,,c78,,,,,,,,,,,
,,,,Protein AF-17,Protein,,,b8679,,c61,,,,,,,,,,,
,,,,DHRS11,GeneProduct,,,b89c0,,aba,,,,,,,,,,,
,,,,"C-C motif 
chemokine 13",Protein,,,b8aac,,da7,,,,,,,,,,,
,,,,PGAP3,GeneProduct,,,b9a6d,,df1,,,,,,,,,,,
,,,,IKZF3,GeneProduct,,,ba997,,e3a,,,,,,,,,,,
,,,,MMP28,GeneProduct,,,baf8f,,fc6,,,,,,,,,,,
,,,,"StAR-related 
lipid transfer protein 3 ",Protein,,,bb045,,dfb,,,,,,,,,,,
